Name,Comment,tone
Kanoon aur Janta,"लोकहितार्थ स्वागत।सरदार वाकई हिंदुओं की शान रहे हैं।सिर्फ योगराज(क्रिकेटर युवराज सिंह का किर्केटर पिता) ने 2 दिन पहले हम हिंदुओं के बारे में बहुत गन्दी बातें की,आर्मी ट्रेंड इस बेस्ट एन सी सी का मन किया कि उसे गोलियों से भून दूँ, पर अफसोस सरदारों सहित आप लोगों ने उस बाजारू खेल के बददिमाग आदमी को उसकी नीच बातों का विरोध कर उसे बेइज्जती कर नहीं भगाया।उसे बता देना कि हमारे पूर्वज गूजरों ने 1950-70 में दिल्ली,नोएडा यूपी में आये सरदारों का खुलेदिल से स्वागत किया।लेकिन एक घटना बताता हूँ-कुछ बंदूक धारी सरदारों ने 1960-70 के बीच एक टाइम दिल्ली यमुना नदी किनारे निहत्थे देशराज अवाना गुर्जर और एक साथी से जबरन कच्ची शराब की ट्यूब छीन ली(जो रोजीरोटी थी,भले अवैध थी,सिंचाई साधन न होने से वर्तमान नोएडा एरिया में फसल बहुत कम होती थी)<br>तो जब बात इज्जत और मर्दानगी की आई तो तैमूर लंग को भगाने वाली,अंग्रेजों को क्रिमिनल जनजाति घोषित करने पर मजबूर करने वाली गुर्जर कौम के उस दिलेर देशराज गुर्जर ने उन गुंडे सरदारों से अकेले निहत्थे भिड़ंत की और न केवल अपनी ट्यूब वापिस ली बल्कि उनकी बन्दूक छीनकर उन्हें खदेड़ दिया।सरदारों के मुखिया देशराज के गाँव अट्टा वर्तमान सेक्टर 27 नोएडा आये,माफी माँगी और शौर्य प्रदर्शन करने वाले देशराज को दिखाने की अर्ज की,मिलाया तो उन्हें शाबाशी दी,देशराज ने भी बन्दूक वापिस कर दी।ऐसी कई घटनाएं समय समय पर हुई थीं।ये घमण्ड नहीं गर्व मात्र है और योगराज सिंह जैसे गन्दी मानसिकता के लोगों को एक जवाब मात्र है।<br>खैर, ये वीडियो देख अच्छा लगा।वाहे गुरु,<br>🙏💐 नानकसाहिब सहित सभी दसों गुरुओं को सादर नमन,श्रद्धाजंलि💐🙏🌍",{'document_tone': {'tones': []}}
Thankful Lally,Thanks for sharing. God bless.💕💕,"{'document_tone': {'tones': [{'score': 0.950199, 'tone_id': 'joy', 'tone_name': 'Joy'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Thanks for sharing.', 'tones': []}, {'sentence_id': 1, 'text': 'God bless.💕💕', 'tones': [{'score': 0.930797, 'tone_id': 'joy', 'tone_name': 'Joy'}]}]}"
M.ch.ziauddin M.ch.ziauddin,"well done all specialy dr,s n air india staff taken a very best act,appriciating most all for best humanatarian help","{'document_tone': {'tones': [{'score': 0.703597, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.879222, 'tone_id': 'confident', 'tone_name': 'Confident'}]}}"
haridwar rai,"Mr. Ravish Kumar ji, I would like to atract your attention that some hospitals in New Delhi, are involved in organ trafficking also. If you would do something on this point, it will be helpful to the people. Since this type of trafficking is running in the name of COVID-19.","{'document_tone': {'tones': [{'score': 0.902459, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'Mr. Ravish Kumar ji, I would like to atract your attention that some hospitals in New Delhi, are involved in organ trafficking also.', 'tones': [{'score': 0.63698, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 1, 'text': 'If you would do something on this point, it will be helpful to the people.', 'tones': [{'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, {'sentence_id': 2, 'text': 'Since this type of trafficking is running in the name of COVID-19.', 'tones': []}]}"
Surinder Kaur,Mare aapse vintee hai ke aap sikhee ko smejhne ke ley dr sukhpreet singh udouk se smpark kre toh shayed aap hume smejh sekkee ke hum hai koon or hai kya,{'document_tone': {'tones': []}}
Justice League2222,Jo is andolan main dekhne ko mil raha hai wo na kabhi dekha na kabhi suna mtlb charging points b 😳available hai kya brilliant jugad lagaya hai👏👏👏 # stand with farmers,{'document_tone': {'tones': []}}
Muhammad sajid,The farmer survived🇵🇰,{'document_tone': {'tones': []}}
Amarjeet Kumar,"किसान आंदोलन जिंदाबाद, <br>bjp सरकार मुर्दाबाद।",{'document_tone': {'tones': []}}
Makeup tips tips,zabardast protest,"{'document_tone': {'tones': [{'score': 0.645262, 'tone_id': 'anger', 'tone_name': 'Anger'}]}}"
Baba Deep Singh Institute Of OT Caregiver NURSING,Kisan union jindabad,{'document_tone': {'tones': []}}
Vilasbhai Jadhav,Kisan aandolan me petrol diesel ke rate bina koi vajah badhane ka pap ye sakar Kar rahi hai jo kyo aap sabhi<br>Midea ko nahi dikh raha hai?<br>Are bhai ham aam janata ko to uski choti moti  nokari ya ri rongar bachane mese kaha fursat mil payegi lekin aap to isko mudda banakar Sarkar se saval kyo nahi karte ho aap se hame ye ummid to<br>jarur hai ki 40 se 50 Rs ke rate ka petrol diesal ke rate kis vajah se badh 80 aur 90 Rs ke up<br>Er aa gaya hai.,{'document_tone': {'tones': []}}
Gsmro Uae,Full support farmers,{'document_tone': {'tones': []}}
JasSingh,All of the sudden NDTV seems so interested in the anti india a.k.a FARMERS BILL coverage!! Ravish kumar trying to regain his lost reputation !! Pathetic!,"{'document_tone': {'tones': [{'score': 0.601046, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]}, 'sentences_tone': [{'sentence_id': 0, 'text': 'All of the sudden NDTV seems so interested in the anti india a.k.a', 'tones': []}, {'sentence_id': 1, 'text': 'FARMERS BILL coverage!! Ravish kumar trying to regain his lost reputation !! Pathetic!', 'tones': [{'score': 0.540856, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]}]}"
