,Reply,sentiment
149,"['rohit', 'suryavanshi', 'z', 'plus', 'security', 'holder', 'darendra', 'deny', 'straw', 'sipper', 'common', 'man', 'disease', 'show', 'braveness', 'swamy', 'appeal', 'maafinama', 'till', 'deathpeople', 'india', 'decide']",-0.3
150,"['arupananda', 'naik', 'maharashtra', 'main', 'vampanthi', 'stan', 'mara', 'maharashtra', 'main', 'government', 'congress', 'shivsena', 'sharad', 'pawar', 'ki', 'hain', 'phir', 'bjp', 'kaha', 'se', 'aa', 'gai', 'bich', 'main', 'vampanthi', 'logic', 'waise', 'congress', 'shiv']",0.16666666666666666
151,"['arupananda', 'naik', 'puri', 'duniya', 'main', 'vampanthi', 'yo', 'ne', 'milion', 'log', 'maar', 'diye', 'apni', 'ideology', 'se', 'woh', 'kaya', 'tha', 'murder', 'riot', 'ya', 'phir', 'milion', 'logo', 'ka', 'tum', 'vampanthi', 'sukun', 'de', 'rahe']",0.16666666666666666
152,"['arupananda', 'naik', 'vampanthi', 'brave', 'hote', 'toh', 'milion', 'log', 'nahi', 'marte', 'puri', 'duniya', 'main', 'tum', 'vampanthi', 'itne', 'hi', 'ache', 'hote', 'toh', 'aj', 'sirf', 'kerala', 'mein', 'hi', 'government', 'hain', 'tum', 'vampanthi', 'ki', 'india', 'main', 'koi', 'vote', 'nahi', 'deta', 'tum', 'vampanthi', 'yo', 'ko', 'milion', 'lo']",0.37777777777777777
153,"['rohit', 'suryavanshi', 'fake', 'app', 'gyan', 'whatsapp', 'university', 'bjp']",-0.5
154,"['rohit', 'suryavanshi', 'haha', 'ask', 'darendra', 'better', 'know', 'truth', 'cheap', 'rupee', 'andhbhakts', 'spread', 'fake', 'news', 'hate']",-0.039999999999999994
155,"['rohit', 'suryavanshi', 'call', 'right', 'winger', 'like', 'u', 'behind', 'murder', 'u', 'understand']",-0.05714285714285716
156,"['rohit', 'suryavanshi', 'way', 'prodest', 'moment', 'someone', 'demand', 'maafinama', 'great', 'stan', 'remember', 'forever']",0.8
157,"['rohit', 'suryavanshi', 'darendra', 'give', 'vaccine', 'freely', 'country', 'make', 'image', 'responsible', 'death', 'right', 'winger', 'logic']",0.29523809523809524
158,"['md', 'saif', 'ali', 'puri', 'zindagi', 'ghar', 'ke', 'andar', 'chup', 'chup', 'kar', 'zindagi', 'katni', 'padegi', 'woh', 'halat', 'ho', 'jayegi', 'agar', 'mere', 'bare', 'main', 'pata', 'kar', 'liya', 'toh', 'ja', 'beta', 'zindagi', 'ke', 'moj', 'le', 'nhi', 'toh', 'zindagi', 'kam', 'kar', 'duga', 'teri']",-0.09444444444444444
159,"['arupananda', 'naik', 'jab', 'vampanthi', 'ki', 'pol', 'khulti', 'hai', 'toh', 'ushe', 'sab', 'fake', 'hi', 'lagta', 'hain', 'waise', 'bhi', 'vampanthi', 'yo', 'ne', 'phd', 'kar', 'rahi', 'hain', 'jhooth', 'bolne', 'main', 'vampanthi', 'yo', 'ne', 'puri', 'duniya', 'main', 'apni', 'secular', 'ideology', 'se', 'milion', 'log', 'maar', 'diye', 'ye', 'kaya', 'tha', 'gareebi', 'mita']",-0.05555555555555557
160,"['rohit', 'suryavanshi', 'secularism', 'pride', 'india', 'give', 'country', 'international', 'fame', 'dictator', 'bos', 'understand']",0.0
161,"['arupananda', 'naik', 'joke', 'history', 'vampanthi', 'ideology', 'secularism', 'ki', 'baate', 'kar', 'rahe', 'hain', 'lekin', 'vampanthi', 'ne', 'ye', 'nahi', 'bataya', 'ki', 'ish', 'vampanthi', 'secular', 'ideology', 'ne', 'puri', 'duniya', 'india', 'main', 'milion', 'log', 'kyu', 'maar', 'diye', 'jab', 'ideology', 'secular']",0.16666666666666666
162,"['rohit', 'suryavanshi', 'seculariam', 'tujhe', 'samajh', 'mein', 'nahi', 'ayegahate', 'failao', 'tumlog', 'aur', 'saja', 'mile', 'dusro', 'korightwinger', 'hitler', 'ko', 'janta', 'hai', 'na', 'tu', 'akhir', 'mein', 'khudkusi', 'ki', 'thi', 'usnenafrat', 'aur', 'jhoot', 'failane', 'ke', 'alawa', 'kuchh', 'kam', 'nahi', 'tum', 'r', 'walon', 'kasha']",0.0
163,"['ravishji', 'amazingthank', 'muchfr', 'stan', 'swamy', 'rip']",0.0
164,"['dcosta', 'ppppppq']",0.0
165,"['use', 'brain', 'agree', 'everything', 'say', 'govt', 'say', 'show', 'incapability', 'use', 'logical', 'side', 'hospitalgiven', 'treatmentand', 'imprison', 'state', 'govt', 'accuse', 'central', 'govt', 'pure', 'idiocity', 'moreover', 'nhrc', 'direct', 'state', 'govtof', 'maharashtra', 'give', 'medical', 'facility', 'give', 'die', 'hospital']",0.11285714285714285
166,"['tum', 'gadar', 'drohi', 'hamesh', 'aise', 'logo', 'ko', 'smarthan', 'karte', 'aaye', 'ho', 'yo', 'tumare', 'tarh', 'gadar', 'hote', 'hai', 'tum', 'sab', 'ek', 'thallus', 'ke', 'chate', 'bhate', 'ho']",0.0
167,"['promote', 'like', 'anti', 'constitutional', 'force']",0.0
168,"['charge', 'offence', 'father', 'charge', 'one', 'file', 'case', 'anybody', 'without', 'evidence']",0.0
169,['lol'],0.8
